,﻿MessageID,ThreadID,ThreadName,MemberID,MemberName,Message,P_Year,P_Month,P_Day,P_Date,ThreadFirstMessageID
145,10232,1165,GIMF: &quot;Glad Tiding for the Believers and Shaking for the Disbelievers&quot; Second and Final Part of the questionaire with brother Asad al-Jihad2,12,Insurgent,"wa alykumus salam warahmatullahi wabarakatuh, the translation of the part one was never released in full. but brother The Base released a translated summary a while back.",2009,04,23,2009-04-23 00:00:00.000,2004
146,10233,1165,GIMF: &quot;Glad Tiding for the Believers and Shaking for the Disbelievers&quot; Second and Final Part of the questionaire with brother Asad al-Jihad2,10,Asadullah Alshishani,"Quote: Originally Posted by insurgent wa alykumus salam warahmatullahi wabarakatuh, the translation of the part one was never released in full. but brother The Base released a translated summary a while back. Yes, I remember the summary.",2009,04,23,2009-04-23 00:00:00.000,2004
281,10457,1197,Latest Coalition Fatalities - Iraq/Afghanistan (Minstream Media),932,Abu Fatima,As'Salaamu alaikum. Yet another Crusader dies in a 'non-combat' incident: Quote: US soldier dies in noncombat incident in Iraq 34 minutes ago The U.S. military says an American soldier has died as a result of a noncombat related incident in a province north of Baghdad. A military statement says the Multi-National Division — North soldier died Friday in northern Salahuddin province. It does not identify the soldier or provide any further details. It says the incident is under investigation. Associated Press,2009,04,24,2009-04-24 00:00:00.000,2051
301,10484,1197,Latest Coalition Fatalities - Iraq/Afghanistan (Minstream Media),54,ANSAR 007,"Afghanistan defense news 04/24/09 theglobeandmail: Canadian soldier found dead on Afghan base (2 of 2) hroughout the night caution tape blocked entry to the white, two-storey building in a Canadian section of the camp where Major Michelle Mendes' body was found. 04/24/09 theglobeandmail: Canadian soldier found dead on Afghan base (1 of 2) The lifeless body of a female Canadian soldier was found in her Forces' accommodation room Thursday afternoon at Kandahar Air Field.",2009,04,24,2009-04-24 00:00:00.000,2051
302,10485,1525,Latest Iraqi/afghan Soldiers/Police/Other Fatalities - Iraq/Afghanistan (Mainstream Media),54,ANSAR 007,"Afghnistan news releases 04/24/09 AP: Bomb in Afghan capital kills police officer A bomb inside a package left at a checkpoint in Afghanistan's capital exploded early Friday when police opened it, killing one officer, police sai.. 04/24/09 : Bomb kills policeman in Kabul A bomb exploded beside a police checkpoint in Kabul before dawn, killing one policeman, a district police official said. 04/24/09 Reuters: Roadside bomb kills 3 Afghan soldiers, wounds 5 others A roadside bomb killed three Afghan soldiers and wounded five others in Garda Serai district, 120 km (75 miles) south of Kabul, provincial police chief Aziz Ahmad Wardak said. Iraq news releases BAGHDAD – Iraqi police officials say back-to-back bombings have killed at least 25 people outside the most important Shiite shrine in Baghdad. The blasts Friday in the Kazimiyah neighborhood come a day after nearly 80 people were killed in attacks in Iraq, making it the country's deadliest day in more than a year.A police official says the bombers detonated explosive belts within minutes of each other near the tomb of Imam Mousa al-Kazim, an important Shiite saint. The official says 60 people have been wounded. The official spoke on condition of anonymity because he was not authorized to release the information.",2009,04,24,2009-04-24 00:00:00.000,2692
407,10635,3531,As-Sahab: &quot;How to prevent a repeat of Gaza holocoust&quot;,407,spams,REDEPLOYMENT in URDU http://as12kl.notlong.com/ http://gz765.notlong.com/ http://usershare.net/vmiw5f0j91nr.htm http://usershare.net/6r2yjovh438q.htm http://usershare.net/136vp49msolx.htm,2009,04,25,2009-04-25 00:00:00.000,8234
421,10660,3531,As-Sahab: &quot;How to prevent a repeat of Gaza holocoust&quot;,275,bark2512,"Brother, I download file but its not play on Windows media player, or media player classic Its having error on windows media player 0xC00D1199: Cannot play the file How its work plz help me Jazak Allah",2009,04,26,2009-04-26 00:00:00.000,8234
464,10727,3531,As-Sahab: &quot;How to prevent a repeat of Gaza holocoust&quot;,936,abid_58b,Yes This File Cannot be open Please share the working links:,2009,04,25,2009-04-25 00:00:00.000,8234
466,10731,813,Images from Islamic Emirate of Caucasus,101,Ula8484,this is Hoca Ahmeds big brother i read of course right,2009,04,25,2009-04-25 00:00:00.000,1403
496,10762,3531,As-Sahab: &quot;How to prevent a repeat of Gaza holocoust&quot;,407,spams,"Quote: Originally Posted by abid_58b Yes This File Cannot be open Please share the working links: Quote: Originally Posted by bark2512 Brother, I download file but its not play on Windows media player, or media player classic Its having error on windows media player 0xC00D1199: Cannot play the file How its work plz help me Jazak Allah Sorry Brother, It is not working.. NEW LINKS... (MEDIUM QUALITY) http://www.filebox.com/4tnqsn6h5vkq http://usershare.net/4xq2r6timg26.htm http://gz7655.notlong.com/ http://www.up3up.com/download.php?fi...cb3e7de8518893 pasword(if required) : gkj-jvcm they will insha'Allah work.",2009,04,25,2009-04-25 00:00:00.000,8234
508,10775,1197,Latest Coalition Fatalities - Iraq/Afghanistan (Minstream Media),54,ANSAR 007,"Iraq Defense Link 04/25/09 MNF: MND-N Soldier killed on patrol A Multi-National Division – North Soldier died from injuries sustained following an attack on a patrol in the Kirkuk Province of northern Iraq, April 25. 04/24/09 DoD Identifies Army Casualty Cpl. Brad A. Davis, 21, of Garfield Heights, Ohio, died April 22 near Baghdad, Iraq, of wounds sustained when an improvised explosive device detonated near his vehicle. He was assigned to the 82nd Brigade Support Battalion, 3rd Brigade Combat Team... 04/24/09 MNF: MND-N Soldier dies from non-combat related incident A Multi-National Division - North Soldier died in a non-combat related incident in Salah ad Din province April 24. The name of the deceased is being withheld pending notification of next of kin and release by the Department of Defense.",2009,04,25,2009-04-25 00:00:00.000,2051
509,10776,1525,Latest Iraqi/afghan Soldiers/Police/Other Fatalities - Iraq/Afghanistan (Mainstream Media),54,ANSAR 007,"Iraq news releases 04/25/09 Reuters: 2 off-duty policemen killed in separate attacks in Mosul An off-duty police man was killed when gunmen attacked him in central Mosul, police said. Gunmen attacked and killed an off-duty policeman when they stormed his house in eastern Mosul, police said. 04/25/09 Reuters: Two Iraqi soldiers killed in eastern Mosul Two soldiers were killed when gunmen attacked their checkpoint in eastern Mosul, 390 km (240 miles) north of Baghdad, police said. 04/25/09 Reuters: Gunmen attack mini-bus near Balad Seven Shi'ite pilgrims were wounded when gunmen opened fire at their mini-bus near Balad, 80 km (50 miles) north of Baghdad, while they were travelling to Samarra, police said. 04/25/09 UPI: Seven Shiite pilgrims wounded in Iraq Seven Shiite pilgrims were wounded by gunmen Saturday in a third straight day of violence in Iraq, officials said. Gunmen fired at the pilgrims' minibus as they were going to a shrine in Balad, seriously wounding four of them, CNN reported. Afghanistan news releases 04/25/09 CNN: 5 dead in attack targeting Afghan governor Five security officials were killed Saturday morning by suicide bombers who were targeting the governor's office in Kandahar...Three suspects were near the governor's compound when they detonated their bombs, officials said.",2009,04,25,2009-04-25 00:00:00.000,2692
552,10844,1197,Latest Coalition Fatalities - Iraq/Afghanistan (Minstream Media),54,ANSAR 007,"Iraq Defense News 04/26/09 DoD Identifies Army Casualty CSM Benjamin Moore, Jr., 43, of Waycross, Ga., died Apr 24 at Contingency Operating Base Speicher, Iraq, of injuries sustained in a non-combat related incident. He was assigned to the 2d Battalion, 27th Infantry Regiment, 3d Brigade Combat Team...",2009,04,26,2009-04-26 00:00:00.000,2051
565,10872,1525,Latest Iraqi/afghan Soldiers/Police/Other Fatalities - Iraq/Afghanistan (Mainstream Media),54,ANSAR 007,"Afghanistan news releases 04/26/09 KUNA: Three Afghan cops killed in bomb attack A roadside bomb killed three Afghan border police in southeastern Afghanistan, police said. The blast took place in Khost province. The policemen were patrolling the border area when their vehicle hit their car last night... 04/26/09 AP: Bomb kills 2 guards from Afghan community force A roadside bombing in Afghanistan killed two members of a new U.S.-funded civil defense force on Sunday while authorities destroyed 6.5 tons (6 metric tons) of drugs and chemicals seized in the battle against the rampant narcotics trade. Iraq news releases 04/26/09 Reutes: Policeman killed in southern Baghdad A policeman was killed by a roadside bomb that exploded in the Doura neighbourhood of southern Baghdad, police said.",2009,04,26,2009-04-26 00:00:00.000,2692
675,11032,2970,Al-Fursan Media: First English Jihad Magazine - Jihad Recollections no. 1,930,wa1slama,The Telegraph Workout tips for jihad offered by al-Qaeda supporting magazine An al-Qaeda-supporting magazine has published workout tips for extremists planning jihad in countries such as Afghanistan. By John Bingham Last Updated: 11:25AM BST 21 Apr 2009 http://www.telegraph.co.uk/news/news...-magazine.html,2009,04,28,2009-04-28 00:00:00.000,6633
710,11099,1525,Latest Iraqi/afghan Soldiers/Police/Other Fatalities - Iraq/Afghanistan (Mainstream Media),54,ANSAR 007,"Iraq news releases 04/27/09 Reuters: Roadside bomb wounds 2 Iraqi soldiers in Mosul A roadside bomb wounded two Iraqi soldiers and one civilian in nothern Mosul, 390 km (240 miles) north of Baghdad, police said. 04/27/09 Reuters: Major General escapes unharmed in roadside bomb attack Major General Adel Dahaam, police chief of the southern city of Basra, was unharmed in a roadside bomb attack in Salman Pak, 30 km (20 miles) southeast of Baghdad. Police said Dahaam was off-duty at the time.",2009,04,27,2009-04-27 00:00:00.000,2692
760,11157,4444,"Videos, images and news regarding taliban mujahideen",1137,taliban_mujahid_1,http://up.arabseyes.com/upfiles/xH162304.jpg very original photo of killing nato soldiers by destroying helicopter of the nato soldiers. original photo of burning nato soldiers inside hammer in Afghanistan http://up.arabseyes.com/upfiles/cQe62877.jpg original photo of destroyed german vehicle in afghanistan enjoy more surprises in these photos ------------------------------------------------------------------------------------- http://depositfiles.com/files/sl86xwjjy http://www.load.to/fuoJnewRkg/Gaza.Not.Again.Arb.Low.rm new movie clip of killing nato forces by explosives and islamic mujahideen how to stop repeat of gaza massacre ------------------------------------ http://www.megaupload.com/?d=M8EAHNEW very very beautiful movie clips of killing alot of nato soldiers by explosives in Afghanistan hizb islamee ---------------------- http://webfile.ru/3427894 very beautiful movie clip of intensive operations of killing nato soldiers by explosives in Afghanistan --------------- http://ia331417.us.archive.org/1/ite...entisi/frb.AVI ftp://ia331417.us.archive.org/1/item...entisi/frb.AVI :http://www.megavideo.com/?v=CBFXH9U4 original movie clip of GERMAN muslim fighters in Afghanistan -------------- http://www.justupit.com/get.php?id=0...97fea29b76cb75 http://www.up.vi2tu.com/uploads/excellentoz.wmv original movie clip of attacking vehicles of nato forces in afghanistan ------------ http://www.justupit.com/get.php?id=2...0def221964859c very very very excellent beautiful movie clip of dead nato soldiers in Afghanistan ------------------- http://www.fileflyer.com/view/xfNaCCV http://uploading.com/files/YUQMNB0B/best.wmv.html original movie clip of killing alot of nato soldiers by explosives in mountains of Afghanistan ------------ http://ia331427.us.archive.org/3/ite...ney4/Turky.wmv http://ia331427.us.archive.org/3/ite...ney4/Turky.ogv original movie clip of turkish muslim fighter killing alot of nato soldiers in Afghanistan -------------- http://www.justupit.com/get.php?id=b...e7afa1f1ca3fa6 very New original movie clip of dropping airplane of Nato forces and killing alot of Nato soldiers inside it in Afghanistan -------------------------------------------- http://www.archive.org/download/Cabl...tih.karwan.AVI http://www.archive.org/download/Cabl...tih.karwan.wmv http://www.archive.org/download/Cabl...atih.karwan.rm original movie clip of islamic mujahid attacking ministry of media in kabul in afghanistan -------------------- http://www.archive.org/download/kunarmpg/kunarmpg.mpg original movie clip of taliban with two dead nato soldiers in Afghanistan --------------,2009,04,27,2009-04-27 00:00:00.000,11157
761,11159,4444,"Videos, images and news regarding taliban mujahideen",1137,taliban_mujahid_1,http://up.arabseyes.com/upfiles/Q9T70292.jpg,2009,04,27,2009-04-27 00:00:00.000,11157
764,11164,4444,"Videos, images and news regarding taliban mujahideen",1137,taliban_mujahid_1,"sawt al jihad magazine (27 april 2009) taliban killed 7 police soldiers in zermit taliban killed and injured alot of american soldiers in khost taliban killed 5 police soldiers in ghazni taliban killed 4 afghan soldiers in bara kee rajan taliban destroyed american tank in sayed abad ------------------------------------------------------------ islam memo news - Afghan government says that (27 april 2009) taliban killed 6 afghan soldiers in south afghanistan -------------------------------------------------------------- islam memo news : afghan government says that 27 april 2009 taliban killed afghan governmental responsable whose name is ""abdel zahir"" in kandahaar city --------------------------------------------- associated france press : taliban killed 11 police men in different places in afghanistan ---27 april 2009 -------------------------------------------------- gardian news paper : 27 april 2009 policy of obama in afghanistan is failed",2009,04,27,2009-04-27 00:00:00.000,11157
769,11181,1197,Latest Coalition Fatalities - Iraq/Afghanistan (Minstream Media),54,ANSAR 007,"Iraq Defense News 04/27/09 DoD Identifies Army Casualty Sgt. Leroy O. Webster, 28, of Sioux Falls, S.D., died April 25 near Kirkuk, Iraq, after being shot while on a dismounted patrol. He was assigned to the 3rd Battalion, 82nd Field Artillery Regiment, 2nd Brigade Combat Team...",2009,04,28,2009-04-28 00:00:00.000,2051
829,11273,1893,Latest News About The Mujahideen In Somalia,54,ANSAR 007,"Al-shabab forces close radio station, detain journalists in Baidoa town Posted: 4/27/2009 4:02:00 PM Shabelle: SOMALIA BAIDOA (Sh. M. Network) – the Islamist insurgent forces of Al-shabab have closed an independent local FM radio station which operates in Baidoa town 250 kilometers south of the Somali capital Mogadishu, witnesses told Shabelle radio on Monday. Reports from the town say that the forces the Islamic administration of Al-shabab entered the centre of the radio FM station of Jubba in Baidoa town and ordered the administration of the radio to be off air. Sources say that the forces also took Moktar Mohamed Atosh, the director of Jubba radio and Mohamed Adawe, the editor from the radio station and detained in a prison in Baidoa town. It is yet unclear why the Islamic administration of Al-shabab closed the radio station of Jubba in Baidoa town and also the arrest of the journalist who were working for the radio. It is the second time that the Islamist forces of Al-shabab arrest journalists in Baidoa town, the former seat of the transitional parliament of Somalia and no comment has so far come out from the administration of Al-shabab. It was over the past week when the forces of the Islamic administration jailed Muhudin Hassan Mohamed (Husni), the reporter of Shabelle radio in Bay and Bakol regions in Baidoa town who was lately released after a day. Shabelle",2009,04,28,2009-04-28 00:00:00.000,3545
896,11404,4444,"Videos, images and news regarding taliban mujahideen",1137,taliban_mujahid_1,"sawt al jihad magazine : 28 april 2009 --- - since three days a military convoy of NATO invaders surrounded in A vehicles of puppet army destroyed and 6 killed in Badghis 1 vehicle of puppet army destroyed in Zabul A vehicle of puppet army blew up in Paktika puppet police check captured 11 police arrested in Badghis Attacking a supplying convoy of American invaders in Ghazni 1 trailers American was set on fire in Laghman 1 supply vehicle of American invader army destroyed in Nangarahr ---------------------------------- al jazeera television : 28 april 2009 taliban killed police soldiers in different places in afghanistan ----------------- AKI NEWS: 28 april 2009 Rocket attacks target foreign troops in east ---------------- al jazeera television : 28 april 2009 -- Taliban says it has killed more than 30 foreign soldiers and afghan police soldiers in afghanistan ---------------- islamic news agency : director of the criminal investigations was killed in mosay area in south kabul 28 april 2009 ------------- ministry of the afghan defence : 28 april 2009 taliban killed 4 police soldiers in pakteeyaa province --------------- other news 28 april 2009 TALIBAN says that it will increase VOLCANO of attacks on the Nato forces in Afghanistan and it advises the innocent afghan civilians not to exist with the Nato forces to keep up safety of the innocent afghan civilians . TALIBAN asks the afghan military soldiers to leave the work with the Nato forces and join mujahideen and fighters of Taliban if u want to have news ,,movie clips and photos of Taliban killing nato forces ,,,, so u can contact the following emails : alemarah1@gmail.com nedauljihad@yahoo.com mohamed_salman32@yahoo.com taliban_mujahid@yahoo.com",2009,04,28,2009-04-28 00:00:00.000,11157
897,11405,1197,Latest Coalition Fatalities - Iraq/Afghanistan (Minstream Media),932,Abu Fatima,"British soldier killed by IED in Helmand: Quote: British soldier killed in Afghanistan Tue Apr 28, 2009 10:11pm BST A British soldier has been killed in an explosion in southern Afghanistan, the Ministry of Defence said on Tuesday. The fatality comes just a day after Prime Minister Gordon Brown's visit to Afghanistan, where he put forward a new security strategy for the region, as international alarm spreads over Taliban advances. The soldier, from the 1st Battalion Welsh Guards, was killed while on foot patrol alongside the Afghan National Army near the Forward Operating Base Keenan, north east of Gereshk, in Helmand province. The Ministry of Defence said the cause of the blast was under investigation. British troops in Helmand will be reinforced in coming weeks by the arrival of 8,000 U.S. marines which NATO commanders hope will reverse what they have described as a stalemate in one of the country's most violent provinces. Britain has more than 8,000 troops based in Afghanistan, the vast majority serving in Helmand, a desert province that remains a heartland of the Taliban-led insurgency. More than 150 members of the British armed forces have died in Afghanistan since late 2001 when U.S.-led forces ousted the Taliban from power. Reuters",2009,04,28,2009-04-28 00:00:00.000,2051
898,11406,4444,"Videos, images and news regarding taliban mujahideen",1137,taliban_mujahid_1,"http://www.archive.org/download/Nasr...Allah-High.mpg http://ia301536.us.archive.org/3/ite...deo1/nasr1.mpg 75.59 MB http://www.archive.org/download/Nasr...ah-Medium.rmvb http://ia301536.us.archive.org/3/ite...deo1/nasr.rmvb 37.39 MB http://www.archive.org/download/Nasr...lah-Mobile.3gp http://ia301536.us.archive.org/3/ite...ideo1/nasr.3gp movie of taliban "" help from allah ""--dropping helicopter of nato forces on that movie --------------------------------------------------------",2009,04,28,2009-04-28 00:00:00.000,11157
900,11409,1197,Latest Coalition Fatalities - Iraq/Afghanistan (Minstream Media),54,ANSAR 007,Afghanistan defense news 04/28/09 presstv: The British Defense Ministry has announced that one of its soldiers has been killed in a bomb explosion in southern Afghanistan. The ministry isssued a statement on Tuesday saying that the soldier was killed while patrolling along with members of the Afghan army near Forward Operating Base Keenan in Helmand.,2009,04,28,2009-04-28 00:00:00.000,2051
930,11470,1893,Latest News About The Mujahideen In Somalia,guest1,guest1,"good to see these ministers are finally getting the message, give up or be blown up.",2009,04,29,2009-04-29 00:00:00.000,3545
967,11523,4444,"Videos, images and news regarding taliban mujahideen",1137,taliban_mujahid_1,----------------------- NEWS of TALIBAN 29 APRIL 2009 sawt al jihad magazine - xinhua news : islamic suicide bomber attacked the German forces in kunduz city today -------------- ministry of the British defence - MoD - BBC news : 29 april 2009 British soldier was killed in Helmand in Afghanistan,2009,04,29,2009-04-29 00:00:00.000,11157
1019,11600,4444,"Videos, images and news regarding taliban mujahideen",1137,taliban_mujahid_1,"other photos of dead and injured nato soldiers in Afghanistan ----------------------------------------------------------------- al mokhtasar news : 29 april 2009 foreign affairs minister in government of saudia arabia : ""prince turkee el faisal is advising united states of America and the Nato to get out of Afghanistan . taliban destroyed american spying plane in pakteeyaa province ------------------ sawt al jihad magazine : 29 april 2009 5 American invaders soldiers killed in Noristan American base have come under light and heavy weapons --------------- al jazeera television : 29 april 2009 ,, responsable in taliban said that islamic suicide bomber killed alot of german soldiers in kunduz city today in Afghanistan ----------------------",2009,04,29,2009-04-29 00:00:00.000,11157
1046,11653,1197,Latest Coalition Fatalities - Iraq/Afghanistan (Minstream Media),932,Abu Fatima,"One German soldier killed and nine others wounded in two attacks: Quote: German soldier killed in Afghanistan 1 hour ago A German soldier was killed during an attack on a patrol in Afghanistan on Wednesday as Foreign Minister Frank-Walter Steinmeier held talks with the nation's leader in Kabul. Four other German soldiers were lightly wounded when a patrol came under fire northwest of Kunduz, the Defense Ministry said. No further information was immediately available. Earlier in the day, Steinmeier arrived for a previously unannounced two-day tour that included a meeting with Afghan President Hamid Karzai, his foreign and interior ministers, and international representatives in Afghanistan. Shortly afterward, a bomber lightly injured five German soldiers in a separate attack, also near Kunduz. Steinmeier insisted that Germany would not allow the attacks to deter it from carrying out its mission in the Central Asian nation. Some 3,750 German troops are stationed in Afghanistan, where they serve in the relatively peaceful north. The Associated Press",2009,04,29,2009-04-29 00:00:00.000,2051
1049,11658,813,Images from Islamic Emirate of Caucasus,161,Abu-Ahmad,"As Salam Aleykum Mujahid AbdulMalik (ra), Amir Husseiyn (ha) and Movladi Magomedov (ra) Mujahid Movladi (ra), AbdulMalik (ra) and Salman (ra)",2009,04,29,2009-04-29 00:00:00.000,1403
1051,11663,4444,"Videos, images and news regarding taliban mujahideen",1137,taliban_mujahid_1,other photos of hell of the nato forces in Afghanistan,2009,04,29,2009-04-29 00:00:00.000,11157
1053,11665,1197,Latest Coalition Fatalities - Iraq/Afghanistan (Minstream Media),54,ANSAR 007,"Afghanistan defense news 04/29/09 Xinhua: Suicide car bombing wounds 5 German soldiers in N Afghanistan A suicide car bombing targeting German troops Wednesday in northern Afghan province of Kunduz wounded five soldiers, provincial governor told Xinhua.",2009,04,30,2009-04-30 00:00:00.000,2051
